DEBUG 2017-07-18 02:49:44  QM.Server服务开启
ERROR 2017-07-18 03:17:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:17:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:18:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:18:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:19:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:19:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:20:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:20:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:21:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:21:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:22:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:22:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:23:22  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
DEBUG 2017-07-18 03:28:31  QM.Server服务开启
INFO  2017-07-18 03:28:33  QM Server 开启服务
DEBUG 2017-07-18 03:29:03  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 03:29:06  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 03:29:06  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 03:29:06  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 03:30:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 03:30:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 03:34:33  QM.Server服务开启
INFO  2017-07-18 03:34:35  QM Server 开启服务
DEBUG 2017-07-18 03:34:36  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 03:34:37  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 04:52:07  QM.Server服务开启
DEBUG 2017-07-18 04:53:04  QM.Server服务开启
INFO  2017-07-18 04:53:06  QM Server 开启服务
DEBUG 2017-07-18 04:55:35  QM.Server服务开启
INFO  2017-07-18 04:55:37  QM Server 开启服务
DEBUG 2017-07-18 04:55:39  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 04:55:39  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 04:56:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 04:56:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 04:58:32  QM.Server服务开启
INFO  2017-07-18 04:58:34  QM Server 开启服务
DEBUG 2017-07-18 04:58:35  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 04:58:36  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 04:59:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 04:59:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:00:04  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:00:04  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:01:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:01:01  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:02:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:02:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:03:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:03:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:04:01  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:04:01  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:05:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:05:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:06:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:06:01  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:07:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:07:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:08:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:08:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:09:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
DEBUG 2017-07-18 05:09:01  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:09:51  QM.Server服务开启
INFO  2017-07-18 05:09:53  QM Server 开启服务
DEBUG 2017-07-18 05:10:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\123.BAT 
DEBUG 2017-07-18 05:10:00  E:\ASECode\Test\QM.git\QM.Web\Files\2017\06\QM.BAT.exe asy
